MonthYear,DATE,RETURN
1999-01-01,1998-12-31,6.3699004705656925
1999-02-01,1999-01-29,3.568196966459891
1999-03-01,1999-02-26,-3.173637896870007
1999-04-01,1999-03-31,3.8317316212686414
1999-05-01,1999-04-30,4.182288982621364
1999-06-01,1999-05-28,-2.161890004343714
1999-07-01,1999-06-30,5.09578784859932
1999-08-01,1999-07-30,-3.053207429519633
1999-09-01,1999-08-31,-0.9369444582563168
1999-10-01,1999-09-30,-2.7496046834708303
1999-11-01,1999-10-29,6.722152674462545
1999-12-01,1999-11-30,2.572512390964876
2000-01-01,1999-12-31,6.025331793505394
2000-02-01,2000-01-31,-4.0940699711772615
2000-03-01,2000-02-29,-0.2674694246573739
2000-04-01,2000-03-31,9.112000296640963
2000-05-01,2000-04-28,-3.3336094379556425
2000-06-01,2000-05-31,-2.5863473061212394
2000-07-01,2000-06-30,2.549479937468391
2000-08-01,2000-07-31,-1.661457030588531
2000-09-01,2000-08-31,7.401740422242509
2000-10-01,2000-09-29,-4.641554009915283
2000-11-01,2000-10-31,-1.2045658850726169
2000-12-01,2000-11-30,-9.144940157017633
2001-01-01,2000-12-29,1.2087941948519592
2001-02-01,2001-01-31,3.290500828466314
2001-03-01,2001-02-28,-9.327815077578348
2001-04-01,2001-03-30,-6.641688272849011
2001-05-01,2001-04-30,8.03487031737693
2001-06-01,2001-05-31,0.6759991734760941
2001-07-01,2001-06-29,-2.258954302090399
2001-08-01,2001-07-31,-1.365447120604968
2001-09-01,2001-08-31,-6.094544261055358
2001-10-01,2001-09-28,-8.480720332107838
2001-11-01,2001-10-31,2.081940303996266
2001-12-01,2001-11-30,7.700234913676085
2002-01-01,2001-12-31,1.066199646123622
2002-02-01,2002-01-31,-1.2702300407173792
2002-03-01,2002-02-28,-1.992046810387216
2002-04-01,2002-03-28,4.109121749392153
2002-05-01,2002-04-30,-5.729332444912938
2002-06-01,2002-05-31,-0.882221522917892
2002-07-01,2002-06-28,-7.380490890797031
2002-08-01,2002-07-31,-7.400144465151116
2002-09-01,2002-08-30,0.5234863647904264
2002-10-01,2002-09-30,-10.739718126508482
2002-11-01,2002-10-31,8.308645713740681
2002-12-01,2002-11-29,5.8520252979751275
2003-01-01,2002-12-31,-5.6596630474422325
2003-02-01,2003-01-31,-2.423768904129986
2003-03-01,2003-02-28,-1.547056757113885
2003-04-01,2003-03-31,1.0351537194323248
2003-05-01,2003-04-30,8.073064644039185
2003-06-01,2003-05-30,5.701553793785187
2003-07-01,2003-06-30,1.315149530215587
2003-08-01,2003-07-31,1.992646534520914
2003-09-01,2003-08-29,2.029481805775912
2003-10-01,2003-09-30,-1.024178563929101
2003-11-01,2003-10-31,5.863391572447486
2003-12-01,2003-11-28,1.1990163999640477
2004-01-01,2003-12-31,4.7886170961503725
2004-02-01,2004-01-30,1.9007897900397357
2004-03-01,2004-02-27,1.384952285903585
2004-04-01,2004-03-31,-1.364228537466816
2004-05-01,2004-04-30,-1.807702161036262
2004-06-01,2004-05-28,1.442406717676725
2004-07-01,2004-06-30,1.8027544692263748
2004-08-01,2004-07-30,-3.5118877901804684
2004-09-01,2004-08-31,0.4933574780418226
2004-10-01,2004-09-30,1.26218050096929
2004-11-01,2004-10-29,1.613006270980044
2004-12-01,2004-11-30,4.28134966878293
2005-01-01,2004-12-31,3.620756608508935
2005-02-01,2005-01-31,-2.519705794301219
2005-03-01,2005-02-28,2.2487909900079432
2005-04-01,2005-03-31,-1.582995780339458
2005-05-01,2005-04-29,-1.844111483733468
2005-06-01,2005-05-31,3.5447490380636095
2005-07-01,2005-06-30,0.4085091924788786
2005-08-01,2005-07-29,3.8892353017219614
2005-09-01,2005-08-31,-0.8654447162318557
2005-10-01,2005-09-30,0.9292792172292286
2005-11-01,2005-10-31,-1.7540058102592289
2005-12-01,2005-11-30,3.7981446200603837
2006-01-01,2005-12-30,0.1418783798011969
2006-02-01,2006-01-31,2.8036910883225237
2006-03-01,2006-02-28,0.2236760819542827
2006-04-01,2006-03-31,1.4156607686213851
2006-05-01,2006-04-28,1.200016883873301
2006-06-01,2006-05-31,-2.9528629277966405
2006-07-01,2006-06-30,0.1306110781693626
2006-08-01,2006-07-31,0.2195243156112081
2006-09-01,2006-08-31,2.3970938810471414
2006-10-01,2006-09-29,2.373322501288344
2006-11-01,2006-10-31,3.3956317922075434
2006-12-01,2006-11-30,2.132141296263268
2007-01-01,2006-12-29,1.281270872032492
2007-02-01,2007-01-31,1.925952139284215
2007-03-01,2007-02-28,-1.720510360185723
2007-04-01,2007-03-30,1.038125772975307
2007-05-01,2007-04-30,4.204153809420474
2007-06-01,2007-05-31,3.602014162893563
2007-07-01,2007-06-29,-1.9101415384490619
2007-08-01,2007-07-31,-3.0888302294117214
2007-09-01,2007-08-31,1.3608794341989359
2007-10-01,2007-09-28,3.818866378248376
2007-11-01,2007-10-31,1.7433305664328993
2007-12-01,2007-11-30,-4.263082518274064
2008-01-01,2007-12-31,-0.6510753823315563
2008-02-01,2008-01-31,-5.995035741463018
2008-03-01,2008-02-29,-3.0550997707120002
2008-04-01,2008-03-31,-0.6776046711597705
2008-05-01,2008-04-30,5.070485724661689
2008-06-01,2008-05-30,1.833752596644267
2008-07-01,2008-06-30,-8.306599796837313
2008-08-01,2008-07-31,-1.162847162875125
2008-09-01,2008-08-29,1.3769146528990859
2008-10-01,2008-09-30,-9.526983756490957
2008-11-01,2008-10-31,-17.4606160255092
2008-12-01,2008-11-28,-7.5620222342131065
2009-01-01,2008-12-31,1.59790277288403
2009-02-01,2009-01-30,-8.162001485896763
2009-03-01,2009-02-27,-10.33867001714713
2009-04-01,2009-03-31,8.746168332087855
2009-05-01,2009-04-30,10.12216875017375
2009-06-01,2009-05-29,5.534289507741773
2009-07-01,2009-06-30,0.2445420851863389
2009-08-01,2009-07-31,7.631298479823222
2009-09-01,2009-08-31,3.6323606443240184
2009-10-01,2009-09-30,4.057634241897001
2009-11-01,2009-10-30,-2.210377511929107
2009-12-01,2009-11-30,5.890637999272407
2010-01-01,2009-12-31,2.434552627181996
2010-02-01,2010-01-29,-3.598331007759514
2010-03-01,2010-02-26,3.295890729886453
2010-04-01,2010-03-31,6.144661530118656
2010-05-01,2010-04-30,1.850836557152769
2010-06-01,2010-05-28,-7.9283763624669055
2010-07-01,2010-06-30,-5.566969124275467
2010-08-01,2010-07-30,6.949734552828123
2010-09-01,2010-08-31,-4.472548201263715
2010-10-01,2010-09-30,9.187917036651447
2010-11-01,2010-10-29,3.8916735623951477
2010-12-01,2010-11-30,0.3261071822288519
2011-01-01,2010-12-31,6.675307442426147
2011-02-01,2011-01-31,2.4048103212840117
2011-03-01,2011-02-28,3.478299498321169
2011-04-01,2011-03-31,0.2585269911292265
2011-05-01,2011-04-29,3.0077190419791178
2011-06-01,2011-05-31,-1.072743344417626
2011-07-01,2011-06-30,-1.748012337922278
2011-08-01,2011-07-29,-2.17013427769509
2011-09-01,2011-08-31,-5.7580040202119696
2011-10-01,2011-09-30,-7.461748457213668
2011-11-01,2011-10-31,11.20883304002995
2011-12-01,2011-11-30,-0.2622973566388298
2012-01-01,2011-12-30,0.8358721120528267
2012-02-01,2012-01-31,4.873336612766298
2012-03-01,2012-02-29,4.388233813350739
2012-04-01,2012-03-30,3.129081683850821
2012-05-01,2012-04-30,-0.5802432159870308
2012-06-01,2012-05-31,-6.1451671114968525
2012-07-01,2012-06-29,3.8284506245878087
2012-08-01,2012-07-31,1.186110305698329
2012-09-01,2012-08-31,2.428138651179523
2012-10-01,2012-09-28,2.5722438895474884
2012-11-01,2012-10-31,-1.6882460114712168
2012-12-01,2012-11-30,0.7944510847251784
2013-01-01,2012-12-31,1.037058255872059
2013-02-01,2013-01-31,5.423374776412969
2013-03-01,2013-02-28,1.3435339828873791
2013-04-01,2013-03-28,3.8605503516135227
2013-05-01,2013-04-30,1.805853957589632
2013-06-01,2013-05-31,2.224408260336319
2013-07-01,2013-06-28,-1.362840083434214
2013-08-01,2013-07-31,5.350787626719899
2013-09-01,2013-08-30,-2.7582434100635993
2013-10-01,2013-09-30,3.486945646192274
2013-11-01,2013-10-31,4.4019832268908035
2013-12-01,2013-11-29,2.805712386410897
2014-01-01,2013-12-31,2.697762990691288
2014-02-01,2014-01-31,-3.1938433713004635
2014-03-01,2014-02-28,4.746576580015427
2014-04-01,2014-03-31,0.6369493151070937
2014-05-01,2014-04-30,0.4706469921037293
2014-06-01,2014-05-30,2.2979218499563645
2014-07-01,2014-06-30,2.274551057936769
2014-08-01,2014-07-31,-1.617007278677396
2014-09-01,2014-08-29,4.132004360157482
2014-10-01,2014-09-30,-1.7531029847407842
2014-11-01,2014-10-31,2.44394968811521
2014-12-01,2014-11-28,2.6180823198844294
2015-01-01,2014-12-31,-0.2329711317579752
2015-02-01,2015-01-30,-2.7467358017802757
2015-03-01,2015-02-27,5.7780681359938875
2015-04-01,2015-03-31,-1.245260951240346
2015-05-01,2015-04-30,0.7098706925959597
2015-06-01,2015-05-29,1.308273068769905
2015-07-01,2015-06-30,-1.875974481487386
2015-08-01,2015-07-31,1.927508194558114
2015-09-01,2015-08-31,-6.0153116772977535
2015-10-01,2015-09-30,-2.7407712433966105
2015-11-01,2015-10-30,8.090851623877036
2015-12-01,2015-11-30,0.3303439940964159
2016-01-01,2015-12-31,-1.799034735711991
2016-02-01,2016-01-29,-5.382417487152091
2016-03-01,2016-02-29,-0.03431266804009292
2016-04-01,2016-03-31,6.966083207239504
2016-05-01,2016-04-29,0.5438210025046519
2016-06-01,2016-05-31,1.751178226955319
2016-07-01,2016-06-30,0.2264522574269678
2016-08-01,2016-07-29,3.8094468207721333
2016-09-01,2016-08-31,0.1328573886922202
2016-10-01,2016-09-30,0.07914423932087189
2016-11-01,2016-10-31,-1.9500063577223998
2016-12-01,2016-11-30,3.942360547770041
2017-01-01,2016-12-30,1.878686022433751
2017-02-01,2017-01-31,2.010861775653527
2017-03-01,2017-02-28,3.870802637771753
2017-04-01,2017-03-31,0.0631764835835158
2017-05-01,2017-04-28,1.057235151445357
2017-06-01,2017-05-31,1.276228347486819
2017-07-01,2017-06-30,0.6982236168223688
2017-08-01,2017-07-31,1.980354557579811
2017-09-01,2017-08-31,0.3128062286696487
2017-10-01,2017-09-29,2.12951588764525
2017-11-01,2017-10-31,2.2935891507679163
2017-12-01,2017-11-30,3.049608186284325
2018-01-01,2017-12-29,1.114806514024269
2018-02-01,2018-01-31,5.489320644556762
2018-03-01,2018-02-28,-3.671336090944122
2018-04-01,2018-03-29,-2.2697670716062768
2018-05-01,2018-04-30,0.3398786266192388
2018-06-01,2018-05-31,2.5526104776661733
2018-07-01,2018-06-29,0.6466633332358862
2018-08-01,2018-07-31,3.4511448540265333
2018-09-01,2018-08-31,3.4457365279594088
2018-10-01,2018-09-28,0.37972460270179204
2018-11-01,2018-10-31,-7.076333041939753
2018-12-01,2018-11-30,2.035063235463963
2019-01-01,2018-12-31,-9.107696568337486
2019-02-01,2019-01-31,8.380327666741438
2019-03-01,2019-02-28,3.3858476358271656
2019-04-01,2019-03-29,1.740952540816032
2019-05-01,2019-04-30,4.0384104540731816
2019-06-01,2019-05-31,-6.3724231051518245
2019-07-01,2019-06-28,7.020411788543267
2019-08-01,2019-07-31,1.55298679874345
2019-09-01,2019-08-30,-1.8315522559806168
